abira	great-grandchild
magazin	store
magʻlub	conquered
magʻlubiyat	defeat
mahalla	district
mahalla	neighbourhood
mahalliy	local
mahkam	firm
mahkamla	consolidate
mahkamlan	consolidate
mahkamlanish	consolidate
mahkamlanish	strengthen
mahkamlanish	tighten
mahkamlan	strengthen
mahkamlan	tighten
mahkamlash	consolidate
mahkamlash	strengthen
mahkamlash	tighten
mahkamla	strengthen
mahkamla	tighten
mahkam	strong
mahkam	tight
mahoratli	masterly
mahorat	mastery
mahoratsiz	unskilled
mahorat	skill
mahsulot	output
mahsulot	product
mahsulot	production
mahsulot	yield
mahsul	produce
mahsul	product
mahsul	result
majbur	compelled
majburiyat	constraint
majburiyat	duty
majburiyat	obligation
majburiy	compulsory
majburiy	obligatory
makaron	macaroni
makaron	pasta
makkajoʻxori	corn
makkajoʻxori	maize
makka	mecca
maktab	school
malakali	qualified
malakali	skilled
malaka	qualifications
malla	blonde
manba	origin
manba	source
manzilgoh	address
maqbara	mausoleum
maʼqul	agreeable
maʼqulla	confirm
maʼqullash	confirm
maʼqul	reasonable
maʼqul	suitable
mard	brave
mard	courageous
mardlarcha	bravely
mardlarcha	courageously
mardlik	bravery
mardlik	courage
margarin	margarin
margʻilon	margilan
marhamat	consideration
marhamat	favour
marhamat	grace
marhum	deceased
marhum	late
marsh	march
masjid	mosque
mast	drunk
mastlik	drunkenness
matonat	firmness
matonat	resoluteness
mavjud	available
mavjud	existing
mavjudlik	availability
mavjudlik	existence
mavjudot	being
mavjudot	essence
mavjudot	nature
mavze	outskirts
mavzoley	mausoleum
mayda	small
maydoncha	field
maydon	square
mayin	light
mayin	soft
mayiz	raisin
mayl	inclination
mayl	wish
may	spirits
may	wine
maza	flavour
mazali	delicious
mazali	flavourful
mazali	palatable
mazali	tasty
mazasiz	bland
mazasiz	flavourless
mazasiz	tasteless
mazasiz	unpalatable
maza	taste
mehmonxona	guesthouse
mehmonxona	hotel
mehmonxona	inn
meʼmor	architect
meʼmorchilik	architecture
meʼmoriy	architectural
meʼmorlik	architecture
menu	menu
mergan	gunman
mergan	rifleman
mergan	sniper
meros	heritage
meros	inheritance
meros	legacy
merosxoʻr	heir
metr	metre
meva	fruit
mevali	fruit
milligramm	milligram
millimetr	millimetre
miltiq	gun
miltiq	rifle
mina	mine
minora	minaret
minora	tower
misr	egypt
misriy	egyptian
misrlik	egyptian
modomiki	as
modomiki	because
modomiki	since
moʻgʻul	mongol
mohir	clever
mohirlik	skill
mohir	masterly
mohirona	cleverly
mohirona	masterfully
mohirona	skilfully
mohir	skilful
moʻjiza	miracle
moʻl	abundant
mol	belongings
moʻljal	aim
moʻllik	abundance
moʻllik	profusion
mol-mulk	property
moʻl	plentiful
mol	possessions
mol	property
moʻl	rich
mongoliya	mongolia
mongol	mongol
moʻri	chimney
moʻri	funnel
moʻrt	delicate
moʻrt	fragile
moʻrtlik	delicacy
moʻrtlik	fragility
mosh	beans
mosh	lentil
mosh	peas
moskva	moscow
moy	grease
moyla	grease
moyla	oil
moylash	grease
moylash	oil
moyli	greasy
moyli	oily
mozor	cemetery
mozor	graveyard
mudofaachi	defender
mudofaa	defence
muhim	important
muhimlik	importance
muhit	environment
muhit	surroundings
muhtojlik	neediness
muhtoj	needy
mukammal	complete
mukammallashtirish	perfect
mukammallashtir	perfect
mukammallik	perfection
mukammal	perfect
mulkdor	owner
mulk	property
mulohaza	consideration
mulohazali	sane
mulohazali	sensible
mulohaza	reflection
mulohazasiz	unreasonable
muloyimlashish	mellow
muloyimlash	mellow
muloyimlik	gentleness
muloyimlik	mildness
muloyimlik	softness
muloyim	mild
muloyim	silken
muloyim	soft
mumkinlik	possibility
mumkin	possible
munofiq	hypocrite
munofiq	hypocritical
munofiqlik	betrayal
munofiqlik	hypocrisy
munofiq	treacherous
munosabat	relations
munozara	debate
munozara	discussion
munozara	dispute
munozaralash	contend
munozaralash	debate
munozaralash	discuss
munozaralashish	contend
munozaralashish	debate
munozaralashish	discuss
munozarali	debatable
munozarali	questionable
munozarasiz	debatable
munozarasiz	questionable
muomala	behaviour
muomala	conduct
muomalali	behaviour
muqarrar	certain
muqarrar	definite
muqarrar	inevitable
murabbo	jam
murabbo	preserve
murch-qalampir	pepper
murgʻob	murgab
murosachi	mediator
murosa	compromise
murosa	reconciliation
murosasiz	uncompromising
muruvvat	generosity
muruvvat	humanity
muruvvat	leniency
muruvvatli	generous
muruvvatli	humane
muruvvatli	lenient
musht	fist
mushtla	punch
mushtlash	punch
mushtoq	desired
mushtoq	highly-coveted
mushtoqlik	covetousness
mushtoqlik	desire
mustahkam	consolidated
mustahkam	firm
mustahkamla	consolidate
mustahkamlan	consolidate
mustahkamlanish	consolidate
mustahkamlanish	strengthen
mustahkamlan	strengthen
mustahkamlash	consolidate
mustahkamlash	strengthen
mustahkamla	strengthen
mustahkam	solid
mustahkam	strong
mustaqil	independent
mustaqillik	independence
muvofiqlik	suitability
muvofiq	reasonable
muxolifatchi	opponent
muxolifat	opposition
muxolif	opponent
muxolif	rival
muxtor	autonomous
muxtoriyat	autonomy
muzey	museum
muz	frosty
muzla	freeze
muzlash	freeze
nabira	grandchild
nafas	breath
nafs	desire
nafs	greed
nafs	lust
namangan	namangan
nam	damp
nam	humid
namlash	soak
namlash	steep
namla	soak
namla	steep
namlik	dampness
namlik	humidity
nam	moist
nam	wet
narkotik	drugs
narkotik	narcotics
narsa	object
narsa	thing
narvon	ladder
nasl	descendants
nasl	pedigree
nasl	race
naslsiz	sterile
nasl	tribe
natija	conclusion
natijali	effective
natija	result
natijasiz	ineffective
navbatchilik	duty
navvoy	navvoy
nayza	lance
nayza	spear
nayza	sting
nazar	glance
nazar	look
nazokatlik	refined
nazokatlik	tender
nazokat	refinement
nazokatsiz	unrefined
nazokat	tenderness
nemischa	german
nemis	german
nevara	grandchild
nikohli	married
nikoh	marriage
nikohsiz	single
nikohsiz	unmarried
nimjon	feeble
nimjon	weak
nobop	inappropriate
nobop	unsuitable
nochor	destitute
nochor	miserable
noinsof	dishonest
noinsoflik	crookedness
noinsoflik	dishonesty
noinsof	unfair
nok	pear
nomumkin	impossible
non	bread
noʻnoq	awkward
noʻnoq	clumsy
noʻnoq	inapt
noʻnoqlik	awkwardness
noʻnoqlik	clumsiness
noʻnoqlik	inaptitude
nonushta	breakfast
nopok	dirty
nordon	bittersweet
nordon	sour
noshud	clumsy
noshud	incapable
noshud	incompetent
nos	nas
notinchlik	restlessness
notinch	restless
novvoy	baker
novvoyxona	bakery
noʻxat	peas
noz	caprice
nozik	delicate
nozik	fine
nozik	fragile
noziklik	delicacy
noziklik	fineness
noziklik	fragility
nozlanish	simper
nozlan	simper
nozli	coquettish
noz	whim
nukus	nukus
nuqson	defect
nuqson	flaw
nuqson	imperfection
nuqsonli	defective
nuqsonli	flawed
nuqsonli	imperfect
nyu-york	new-york
obod	flourishing
obod	prosperous
observatoriya	observatory
ocharchilik	famine
oʻch	disappear
oʻch	fade
och	hungry
ochiq	open
oʻchir	erase
oʻchirish	erase
oʻchish	disappear
oʻchish	fade
ochish	stimulate
oʻchish	vanish
ochish	whet
och	light
ochlik	hunger
oʻchoq	hearth
oʻchoq	stove
och	pale
oʻch	revenge
och	starving
och	stimulate
oʻch	vanish
och	whet
odamgarchilik	humaneness
odamgarchilik	humanity
odamiy	humane
odamshavanda	sociable
odil	fair
odil	impartial
odil	just
odillik	fairness
odillik	impartiality
odillik	justice
odilona	fair
odilona	just
odim	pace
odim	step
odim	stride
ofitser	officer
oʻgay	step-
oʻgʻil	boy
ogʻir	heavy
oʻgirish	turn
ogʻirlik	heaviness
ogʻirlik	weight
oʻgir	turn
ogʻir	weighty
ogʻish	deviation
ogʻiz	mouthful
ogʻri	ache
ogʻri	hurt
ogʻriq	ache
ogʻriq	pain
ogʻriqsiz	painless
ogʻriq	soreness
ogʻrish	ache
ogʻrish	hurt
oila	family
oila	household
oilaviy	family
oʻjarlik	obstination
oʻjarlik	stubbornness
oʻjar	obstinate
oʻjar	stubborn
ojizona	helpless
ojizona	powerless
oʻkir	howl
oʻkirish	howl
ola	colourful
ola	multi-coloured
olcha	cherry
oʻldirish	kill
oʻldirish	murder
oʻldir	kill
oʻldir	murder
olijanob	high
olijanoblik	magnanimity
olijanoblik	nobility
olijanoblik	nobleness
olijanob	magnanimous
olijanob	noble
oʻlik	corpse
oʻlik	dead
oʻlim	death
olinish	obtained
olin	obtained
olish	take
olma	apple
oʻlmas	immortal
ol	take
olxoʻri	plum
ombor	reservoir
ombor	storehouse
ombor	warehouse
onalik	maternity
onalik	motherhood
ona	mother
ong	consciousness
ongli	conscious
onglilik	consciousness
ong	mind
ongsiz	unconscious
ont	oath
opa-singil	sisters
optimistik	optimist
optimizm	optimism
oʻq	arrow
oqartish	lighten
oqartish	whiten
oqart	lighten
oqart	whiten
oʻqchi	bowman
oʻqchi	gunner
oʻqchi	rifleman
oʻq-dori	ammunitions
oq	flow
oqibat	end
oqibatli	effective
oqibat	result
oqibatsiz	vain
oqim	course
oqim	flow
oqim	stream
oqimtir	whitish
oqish	flow
oqish	whitish
oqizish	run
oqizish	spill
oqizish	upset
oqiz	run
oqiz	spill
oqiz	upset
oʻqla	load
oʻqlash	load
oqlash	whiten
oqlash	whitewash
oqla	whiten
oqla	whitewash
oq	white
oʻrda	court
oʻrik	apricot
oʻrin-koʻrpa	bed
oʻrin-koʻrpa	bedding
oʻrinli	appropriate
oʻrinli	justified
oʻrinli	reasonable
oʻrin	seat
oʻrinsiz	arbitrary
oʻrinsiz	unappropriate
oʻrmala	crawl
oʻrmalash	crawl
oʻrmalash	slither
oʻrmala	slither
orom	peace
orom	quietness
orom	rest
oromsiz	troubled
oromsiz	unquiet
oʻrta	central
oʻrta	centre
oʻrtachilik	mediocrity
oʻrta	middle
oʻrtamiyona	mediocre
oʻrtamiyona	poor
ortiqlik	advantage
ortiqlik	superiority
oʻruscha	russian
oʻrus	russian
orzu	aspiration
orzu	desire
orzu	hope
orzu	wish
oʻs	grow
osham	handful
oʻsh	osh
oshpaz	cook
oshpazlik	cooking
osh	pilau
oshxona	kitchen
oʻsish	grow
oʻsish	growth
osiyo	asia
osiyolik	asian
osmonoʻpar	high
osoyishta	calm
osoyishta	careful
osoyishta	gentle
osoyishtalik	calmness
osoyishtalik	carefulness
osoyishtalik	gentleness
osoyishtalik	quietness
osoyishta	quiet
ostona	threshold
ota-bobolar	forefathers
ota	father
otalik	fatherhood
otalik	paternity
ota-ona	parents
oʻtirish	meeting
oʻtirish	party
oʻtirish	sit
oʻtir	sit
otish	fire
otishish	fire
otishma	firing
otishma	skirmish
oʻtish	pass
oʻtkazish	pass
oʻtkazish	transmit
oʻtkaz	pass
oʻtkaz	transmit
oʻtkir	cutting
oʻtkirla	sharpen
oʻtkirlashish	sharpen
oʻtkirlash	sharpen
oʻtkirlik	sharpness
oʻtkir	sharp
oʻtmas	blunt
oʻtov	tent
oʻtov	yurt
oʻt	pass
otrad	detachment
otrad	troops
ovoz	voice
ovqat	feeding
ovqat	food
ovqatlan	eat
ovqatlanish	eat
ovqatlantir	feed
ovqatlantirish	feed
ovqat	lunch
ovqat	meal
ovqatxona	canteen
ovrupa	europe
ovrupalik	european
ovsin	sister-in-law
ovul	village
oyi	mummy
oʻyla	imagine
oʻylash	imagine
oʻylash	think
oʻyla	think
ozarbayjon	azerbaidjan
ozarbayjonlik	azerbaidjanese
oʻzbekcha	uzbek
oʻzbekchilik	uzbekity
oʻzbekistonlik	uzbekistanese
oʻzbekiston	uzbekistan
oʻzbek	uzbek
oziq	fodder
oziq	food
oziqlan	eat
oziqlanish	eat
oziqli	nourishing
oziqli	nutritious
oziq-ovqat	food
oziq-ovqat	provisions
oʻzlashtir	acquire
oʻzlashtir	assimilate
oʻzlashtirish	acquire
oʻzlashtirish	assimilate
oʻzlashtirish	master
oʻzlashtir	master
ozodla	free
ozodla	liberate
ozodlash	free
ozodlash	liberate
ozod	liberated
ozodlik	emancipation
ozodlik	freedom
ozodlik	liberation
oʻz-oʻzidan	spontaneously
palov	pilaf
panala	cover
panalash	cover
panala	shelter
panalash	shelter
pana	shelter
panjara	fence
panjara	trellis
panoh	covered
panoh	sheltered
papiros	cigarette
parhez	diet
parij	paris
park	park
parvoz	flight
pasay	decrease
pasayish	decrease
pasayish	lower
pasay	lower
pasaytir	decrease
pasaytirish	decrease
pasaytirish	lower
pasaytir	lower
pastkash	low
pastkash	mean
pastlik	lowness
pastlik	vileness
past	low
past	mean
paydo	appear
payqa	notice
payqa	observe
payqa	perceive
payqash	notice
payqash	observe
payqash	perceive
pechenye	cookie
pechenye	pastries
pekin	beijing
peshana	destiny
peshana	fate
peshayvon	verandah
pessimistik	pessimistic
pessimist	pessimist
pessimizm	pessimism
petrushka	parsley
piknik	picnic
pirojnoye	cake
pirojnoye	pastry
pishiq	ripe
pishiq	solid
pishiq	strong
pishir	cook
pishirish	cook
pishirish	make
pishir	make
pishloq	cheese
pitsa	pizza
pivo	beer
pivoxona	bar
pivoxona	pub
piyoz	onion
pochcha	brother-in-law
pok	clean
pokistonlik	pakistanese
pokiston	pakistan
pokiza	clean
pol	floor
poliklinika	clinic
pomidor	tomatoe
pomir	pamir
poʻpisa	threat
poʻrtahol	orange
port	harbor
port	port
posbon	guardian
posbon	sentinel
poyon	boundary
poyon	limit
pozitsiya	attitude
pozitsiya	position
predmet	object
predmet	thing
puchayish	shrink
puchayish	wither
puchay	shrink
puchaytirish	shrink
puchaytirish	wither
puchaytir	shrink
puchaytir	wither
puchay	wither
puch	empty
puch	hollow
pufakcha	bubble
puldor	rich
pulemyot	machine-gun
pulparast	moneygrubbing
pushka	cannon
pusht	embryo
pushti	pink
pushti	rose
puxta	durable
puxta	firm
puxtalashtir	consolidate
puxtalashtirish	consolidate
puxtalik	firmness
puxta	strong
puxta	thick
qabih	disgusting
qabih	lowly
qabih	wretched
qabr	grave
qabriston	cemetery
qabriston	graveyard
qabr	tomb
qadam	pace
qadam	step
qadrla	esteem
qadrla	prize
qadrlash	esteem
qadrlash	prize
qadr-qiymat	value
qadrsiz	valueless
qadrsiz	worthless
qadr	value
qadr	worth
qahramon	hero
qahramon	heroic
qahramonlarcha	heroically
qahramonlik	heroism
qahramonona	heroically
qahva	coffee
qahvaxona	cafe
qahvaxona	cafetaria
qalʼa	fortress
qalʼa	stronghold
qalbaki	false
qalbaki	forged
qalin	dowry
qalinlatish	thicken
qalinlat	thicken
qalinlik	thickness
qalin	thick
qalqon	shield
qamal	siege
qamchilash	whip
qamchila	whip
qamchi	whip
qand	candy
qandolat	candy
qandolatchi	confectioner
qandolat	sweetmeats
qandolat	sweets
qand-qurs	sweets
qarashlilik	belongings
qarash	opinion
qarash	outlook
qargʻa	curse
qargʻash	curse
qari	aged
qarindoshlar	relatives
qarindosh	relative
qarindosh-urugʻ	relations
qarindosh-urugʻ	relatives
qari	old
qaror	decision
qaror	resolution
qarshi	against
qarshi	karshi
qarshilik	opposition
qarshilik	resistance
qarshi	opposing
qasam	oath
qashqar	kashgar
qashshoqlik	poverty
qashshoqlik	wretechedness
qashshoq	poverty-striken
qashshoq	wretched
qasoschi	avenger
qasos	revenge
qasos	vengeance
qasr	castle
qasr	palace
qassob	butcher
qassoblik	butchery
qat	floor
qatiq	yoghurt
qatʼiyan	definitely
qatʼiyat	determination
qatʼiyatli	determined
qatʼiyatli	resolute
qatʼiyat	resolution
qatʼiyatsiz	irresolute
qatʼiyatsiz	undecided
qatʼiyat	willpower
qatʼiy	determined
qatʼiy	firm
qatʼiylash	determined
qatʼiylashish	determined
qatʼiylik	determination
qatʼiylik	firmness
qatʼiylik	resolution
qatʼiy	resolute
qatra	drop
qat	storey
qattiq	firm
qattiqlik	hardness
qattiq	solid
qavat	floor
qavat	storey
qayin	-in-law
qayirish	twist
qayirish	wring
qayir	twist
qayir	wring
qayla	sauce
qaymoq	cream
qayna	boil
qaynagʻa	brother-in-law
qaynana	mother-in-law
qaynash	boil
qaynata	father-in-law
qaynat	boil
qaynatish	boil
qayni	brother-in-law
qaynoq	boiled
qaynoq	boiling
qaynsingil	sister-in-law
qayrilish	turn
qayrilma	corner
qayrilma	turning
qayril	turn
qaysarlik	stubbornness
qaysarlik	tenacity
qaysar	stubborn
qaysar	tenacious
qaytarish	return
qaytar	return
qaytish	return
qayt	return
qichqir	call
qichqiriq	call
qichqiriq	shout
qichqirish	call
qichqirish	shout
qichqir	shout
qilichboz	fencer
qilich	sabre
qilich	sword
qiliq	manners
qimirlash	stir
qimirlash	sway
qimirla	stir
qimirla	sway
qimirlatish	shake
qimirlatish	stir
qimirlatish	sway
qimirlat	shake
qimirlat	stir
qimirlat	sway
qimiz	koumiss
qimmatli	precious
qimmatli	valuable
qimmatsiz	valueless
qimmatsiz	worthless
qimmat	value
qimmat	worth
qipchoq	kipchak
qirgʻiziston	kirghizstan
qirgʻiz	kirghiz
qishloqi	country
qishloqi	rural
qishloq	village
qismat	fate
qisqalik	shortness
qisqartirish	reduce
qisqartirish	reduction
qisqartirish	shorten
qisqartir	reduce
qisqartir	shorten
qisqa	short
qiymala	chop
qiymala	mince
qiymalash	chop
qiymalash	mince
qiyna	harass
qiyna	haunt
qiynash	harass
qiynash	haunt
qiynash	torment
qiynash	torture
qiyna	torment
qiyna	torture
qiynoq	harassment
qiynoq	torment
qiynoq	torture
qizar	blush
qizarish	blush
qizartir	grill
qizartirish	grill
qiz	girl
qizgʻish	reddish
qizilcha	beetroot
qizilqum	kyzylkum
qizil	red
qiziq	burning
qiziq	heated
qiziq	hot
qiziqtir	allure
qiziqtirish	allure
qiz	maiden
qobiliyat	ability
qobiliyat	capability
qobiliyat	capacity
qobiliyatli	able
qobiliyatli	capable
qobiliyatli	competent
qobiliyatsiz	incapable
qobiliyatsiz	incompetent
qobiliyatsizlik	incompetence
qobil	kabul
qochoq	deserter
qochoq	fugitive
qochqin	fugitive
qochqin	runaway
qochqoq	deserter
qochqoq	fugitive
qodirlik	ability
qohira	cairo
qoldiq	rest
qoldir	abandon
qoldirish	abandon
qolish	remain
qolish	stay
qoloq	backward
qol	remain
qol	stay
qoniqarli	satisfactory
qoniqarsiz	unsatisfactory
qop	bite
qopish	bite
qoʻpol	coarse
qoʻpollik	coarseness
qoʻpollik	vulgarity
qoʻpol	vulgar
qop-qorongʻi	pitch-dark
qoʻqon	kokand
qoq-quruq	arid
qora	black
qora	dark
qoradori	opium
qoramtil	blackish
qoraqalpoqiston	karakalpakistan
qoraqalpoq	karakalpak
qoraqum	karakum
qoraytir	blacken
qoraytirish	blacken
qoʻrgʻon	fortress
qoʻrgʻon	redoubt
qoʻri	defend
qoʻri	guard
qoʻri	protect
qoʻriqchi	guard
qoʻriq	defence
qoʻriqla	defend
qoʻriqla	guard
qoʻriqlash	defend
qoʻriqlash	guard
qoʻriq	protection
qoʻriq	safeguard
qoʻrish	defend
qoʻrish	guard
qoʻrish	protect
qorongʻi	dark
qorongʻi	darkness
qorongʻilan	darken
qorongʻilanish	darken
qorongʻilat	darken
qorongʻilatish	darken
qorongʻilik	darkness
qorongʻilik	obscurity
qorongʻi	obscure
qorongʻi	obscurity
qorovul	guard
qorovullik	guard
qorovul	sentry
qorovul	watchman
qorovulxona	guardroom
qoʻrqmas	brave
qoʻrqmas	fearless
qoʻrqoq	coward
qoʻrqoq	fearful
qoʻrqoqlik	cowardice
qoʻrqoqlik	cowardliness
qoʻrs	coarse
qoʻrslik	coarseness
qoʻrslik	rudeness
qoʻrs	rude
qoʻshin	army
qoʻshin	forces
qoʻshin	troops
qot	harden
qotish	harden
qovun	melon
qovurdoq	joint
qovur	fry
qovurish	fry
qovurish	roast
qovur	roast
qoʻzgʻa	arouse
qoʻzgʻa	cause
qoʻzgʻalish	move
qoʻzgʻalish	surge
qoʻzgʻal	move
qoʻzgʻal	surge
qoʻzgʻash	arouse
qoʻzgʻash	cause
qoʻzgʻolonchi	rebel
qoʻzgʻolon	rebellion
qoʻzgʻolon	revolt
qoʻzgʻolon	uprising
qoʻziqorin	mushroom
qozogʻiston	kazakhstan
qozon	gain
qozonish	gain
qozonish	obtain
qozonish	win
qozon	kazan
qozon	obtain
qozon	win
qozoq	kazakh
qubba	cupola
qubba	dome
quddus	jerusalem
qula	collapse
qula	fall
qulash	collapse
qulash	fall
qultum	gulp
qultum	sip
qulupnay	strawberry
qup-quruq	arid
qurbon	offerings
qurbon	sacrifice
qur	build
qur	construct
qurgʻoq	arid
qurgʻoq	dry
quri	dry
qurilish	building
qurilish	construction
qurish	build
qurish	construct
qurish	dry
qurit	dry
quritish	dry
quritish	wither
qurit	wither
qurol	armaments
qurol	arms
qurol	guns
qurollantir	arm
qurollantirish	arm
qurolli	armed
qurolsiz	disarmed
qurolsizlantir	disarm
qurolsizlantirish	disarm
qurolsiz	unarmed
qurol	weapons
quruq	arid
quruq	dried
quruq	dry
quruqlik	dryness
quruvchi	builder
quruvchi	constructor
qutultir	free
qutultirish	free
qutultirish	release
qutultir	release
quv	chase
quv	follow
quvish	chase
quvish	follow
quvla	chase
quvlanish	pursued
quvlan	pursued
quvla	pursue
quvlash	chase
quvlash	pursue
quymoq	omelette
quyuqlashish	thicken
quyuqlash	thicken
quyuqlashtirish	thicken
quyuqlashtir	thicken
quyuq	thick
rafiqa	wife
ragʻbat	desire
ragʻbat	inclination
ragʻbatlantir	interest
ragʻbatlantirish	interest
ragʻbatlantirish	motivate
ragʻbatlantir	motivate
ragʻbat	liking
raketa	rocket
rang-barang	multi-coloured
rang	colour
rangdor	coloured
rangli	coloured
rangsiz	colourless
raqib	competitor
raqiblik	competition
raqiblik	opposition
raqiblik	rivalry
raqib	opponent
raqib	rival
raqobatchi	competitor
raqobat	competition
rasadxona	observatory
rayhon	basil
razil	contemptible
razil	loathsome
razil	mean
razilona	meanly
razvedka	reconnaissance
rediska	radish
restoran	restaurant
retsept	recipe
rim	roma
riyokor	dissembler
riyokor	hypocrite
riyokorlik	deceit
riyokorlik	dissembling
riyokorlik	hypocrisy
riyokorona	deceitfully
riyokorona	hypocritically
rohat	comfort
rohat	peace
rohat	rest
rossiya	russia
roʻyi-rost	frankly
roʻza	fast
roʻzgʻor	household
rozi	pleased
ruscha	russian
rus	russian
sabab	cause
sabab	reason
sabot	firmness
sabotli	persevering
sabotli	tenacious
sabot-matonat	perseverance
sabot	perseverance
sabot	tenacity
sabrli	patient
sabr	patience
sabrsiz	impatient
sabrsizlik	impatience
sabza	greens
sabzavot	greens
sabzavot	vegetables
sabzi	carrot
sado	echo
sadoqat	devotion
sadoqat	faithfulness
sadoqat	fidelity
sadoqatli	devoted
sadoqatli	faithful
sadoqatsiz	unfaithful
sado	sound
sado	voice
safh	area
safh	surface
sakra	jump
sakra	leap
sakrash	jump
sakrash	leap
salat	lettuce
salbiy	negative
salqin	cool
salqinlik	coolness
salqin	refreshing
samarqand	samarkand
samimiyatsiz	insincere
samimiyatsizlik	insincerity
samimiy	cordial
samimiy	hearty
samimiylik	sincerity
samimiylik	wholeheartedness
samimiy	sincere
sandvich	sandwich
santimetr	centimetre
saodat	happiness
saodatli	happy
saodatli	prosperous
saodat	well-being
sapchish	skip
sapchi	skip
saqich	chewing-gum
saralash	sort
sarala	sort
sargʻish	yellowish
sarguzasht	adventure
sarimsoq	garlic
sariq	yellow
sarkarda	commander-in-chief
sarkarda	leader
saroy	castle
saroy	palace
saroyvon	hotel-keeper
sartaroshxona	barbershop
sart	sart
sasish	smell
sasish	stink
sasi	smell
sasi	stink
sassiq	evil-smelling
sassiqlik	stench
sassiqlik	stink
sassiq	stinky
saxiy	generous
saxiylik	generosity
saxiylik	liberality
saxovat	generosity
saxovatli	charitable
saxovatli	generous
saxovatli	philantropic
saxovat	philantropy
sayla	elect
saylash	elect
sayozlik	shallowness
sayoz	shallow
sayrash	sing
sayra	sing
sayrgoh	promenade
sayrgoh	walk
selderey	celery
sement	cement
sentner	hundredweight
sentner	quintal
sep	dowry
sergʻayrat	dynamic
sergʻayrat	energetic
serob	abundant
serobgarchilik	abundance
serobgarchilik	profusion
serob	plentiful
sezgirlik	sensitiveness
sezgir	sensitive
sezgi	sense
sezilish	noticed
sezil	noticed
sezuvchanlik	sensitiveness
sezuvchan	sensitive
shaffof	clear
shaffof	limpid
shaffof	transparent
shaftoli	peach
shagʻal	gravel
shahar	city
shaharlararo	interurban
shahar	town
shajara	genealogy
shakarpaz	confectioner
shakar	sugar
shampan	champagne
shamshir	sabre
sharbat	sherbet
sharob	spirits
sharob	wine
sharoit	circumstances
shart	condition
shaxsiyat	inner-self
shaxsiyatparast	egoist
shaxsiyatparastlik	egoism
shaxsiyatparastlik	selfishness
shaxsiyatparast	selfish
shaxsiyat	personality
shifoxona	clinic
shifoxona	dispensary
shinam	comfortable
shinam	cozy
shinam	nice
ship	ceiling
shirali	juicy
shirinlik	dessert
shirinlik	pastry
shirin	sweet
shirintomoq	gourmand
shirintomoq	greedy
shirinxoʻr	gourmand
shirinxoʻr	greedy
shivit	dill
shoh	main
shoh	outstanding
shokolad	chocolate
sholgʻom	turnip
shoʻngʻi	dive
shoʻngʻish	dive
shoʻrlik	salinity
shoʻr	salt
shoʻr	salty
shoʻrva	brouth
shoʻrva	soup
shoti	ladder
shovqin	clamour
shovqinli	noisy
shovqinli	uproarious
shovqin	noise
shovqin	shout
shovqin-suron	din
shovqin-suron	hubbub
shovqin-suron	uproar
shoʻxlik	naughtiness
shoʻx	naughty
shpion	spy
shubha	doubt
shubhala	doubt
shubhalash	doubt
shubhalash	suspect
shubhala	suspect
shud	ability
shud	dexterity
shudli	capable
shudli	competent
sibir	siberia
sifat	quality
sigareta	cigarette
silji	move
siljish	move
siljitish	move
siljit	move
silkinish	quake
silkinish	vibrate
silkin	quake
silkin	vibrate
silkitish	shake
silkit	shake
silliqla	polish
silliqlash	polish
silliqlash	smooth
silliqla	smooth
silliqlik	smoothness
silliq	smooth
sing	assimilated
singdir	assimilate
singdir	digest
singdirish	assimilate
singdirish	digest
singish	assimilated
sira	never
sir	cheese
sirgʻanish	slip
sirgʻan	slip
sirka	vinegar
sirpanchiq	slippery
siydik	urine
siyish	micurate
siyish	urinate
siy	micurate
siyoh	black
siyoh	dark
siy	urinate
skver	square
snaryad	shell
sodiq	faithful
sodiqlik	faithfulness
sodiqlik	loyalty
sodiqlik	sincerity
sodiq	loyal
sodiq	true
sodir	happen
sof	clean
sofdil	honest
sofdillik	honesty
sofdillik	sincerity
sofdil	sincere
soflik	cleanness
sogʻlom	good
sogʻlom	sound
soʻk	abuse
soʻkinish	swear
soʻkin	swear
soʻkish	abuse
soʻkish	insult
soʻkish	scold
soʻk	scold
soʻlak	saliva
soldat	soldier
somsa	pie
somsa	sinker
soqchi	guard
soqchilik	guard
soqchi	watchman
soʻrish	suck
soʻr	suck
sotish	sell
sotqin	bribable
sotqin	mercenary
sot	sell
sovchilik	matchmaking
sovchi	matchmaker
sovgʻa	gift
sovgʻa	present
sovqot	freeze
sovqotish	freeze
sovuq	cold
sovuq	frosty
sovuqqon	calm
sovuqqon	cold-blooded
sovuqqon	indifferent
sovuqqonlik	calmness
sovuqqonlik	indifference
sovuqqonlik	soberness
sovuqqon	sober
sovut	cool
sovutish	cool
soxta	false
soxta	forged
soxtalik	hypocrisy
soxtalik	sham
soyavon	sunshade
soyavon	umbrella
soʻyish	slaughter
soʻy	slaughter
soz	excellent
soz	exquisite
soz	good
soʻz	speech
soʻz	statement
soʻz	words
spirt	alcohol
spirtli	alcoholic
spirtsiz	non-alcoholic
spirt	spirits
stadion	stadium
stansiya	station
sugʻor	irrigate
sugʻorish	irrigate
sugʻorish	water
sugʻor	water
sulh	armistice
sulh	peace
sulh	reconciliation
sulola	dynasty
suluk	beautiful
suluk	pretty
supa	mound
supermarket	supermarket
surilish	move
suril	move
surish	move
